id;Linkin Nimi;UniqueNimi;Kieli;Url;KieliNimi
209;Tietoa Kanadasta ;Tietoa Kanadasta ;fi;;Suomi
211;Työsiirtolainen;Työsiirtolainen;fi;http://www.nyinorge.no/no/Ny-i-Norge-velg-sprak/Ny-i-Norge/;Suomi
216;Pitkä testinimi sovellusvirhe;Pitkä testinimi sovellusvirhe;fi;https://www.infofinland.fi/;Suomi
219;suomi;suomi;fi;http://www.infopankki.fi/fi-FI/home/;Suomi
223;Ulkomaalainen töissä Suomessa;Ulkomaalainen töissä Suomessa;fi;https://www.te-palvelut.fi;Suomi
224;Tietoa turvapaikanhakijalle;Tietoa turvapaikanhakijalle;fi;http://www.migri.fi/download/16436_tietoa_tphakijalle_fi.pdf;Suomi
233;Ammatilliset oppimisympäristöt;Ammatilliset oppimisympäristöt;fi;http://ammatillisetoppimisymparistot.wikispaces.com/file/view/Nappiparisto-esite+092012.docx/364698232/Nappiparisto-esite%20092012.docx;Suomi
236;Eduskunta;Eduskunta;fi;http://web.eduskunta.fi/dman/Document.phx?documentId=kn17112110609872&cmd=download;Suomi
237;Hyvä saavutettavuus;Hyvä saavutettavuus;fi;http://www.selko-e.fi/oppaat/kaikille_hyva_saavutettavuus.ppt;Suomi
238;Kotoutumisopas;Kotoutumisopas;fi;http://www.te-info.fi/te_pdf/ely_esite_suomi.pdf;Suomi
240;Japanin Suomen suurlähetystö fi;Japanin Suomen suurlähetystö fi;fi;https://www.fi.emb-japan.go.jp/;Suomi
241;bosnialinkki fi;bosnialinkki fi;fi;;Suomi
242;testilinkki linkki ja dokumentti riippuvuudet;testilinkki linkki ja dokumentti riippuvuudet;fi;http://www.infopankki.fi/sv-FI/Utbildning/;Suomi
245;unkarilinkki fi;unkarilinkki fi;fi;;Suomi
246;ulkkari;ulkkari;fi;https://um.fi/etusivu;Suomi
248;edustustot;edustustot;fi;https://um.fi/page-not-found;Suomi
250;salen puhe;salen puhe;fi;https://www.presidentti.fi/puheet/tasavallan-presidentti-sauli-niiniston-uudenvuodenpuhe-1-1-2013/;Suomi
251;arktiset asiat;arktiset asiat;fi;http://www.eurooppa-tiedotus.fi/public/default.aspx?contentid=259166&nodeid=37760&contentlan=1&culture=fi-FI;Suomi
252;pressan puhe;pressan puhe;fi;https://www.presidentti.fi/puheet/tasavallan-presidentti-sauli-niiniston-puhe-ykn-yleiskokouksen-67-istunnossa-25-syyskuuta-2012/;Suomi
255;testilinkki visu urlin muoto toimi testissä;testilinkki visu urlin muoto toimi testissä;fi;http://www.infopankki.fi-cn.innofactor.com/fi/muutto-suomeen/toihin-suomeen/testisivu-linkeille/testialasivulinkeille#;Suomi
260;asuminen;asuminen;fi;http://www.asuminen.fi/fi-FI;Suomi
261;asuminenalasivu;asuminenalasivu;fi;http://www.asuminen.fi/fi-FI;Suomi
262;sanakirja;sanakirja;fi;https://www.sanakirja.org/search.php?id=103147;Suomi
263;virsikantele;virsikantele;fi;http://suomenmuseotonline.fi/fi/kohde/Suomen+kansallismuseo/K7380%3A84?pathId=1.90.1693.1698.1701.&itemIndex=7;Suomi
264;kuntoutus;kuntoutus;fi;http://www.kela.fi/in/internet/suomi.nsf/NET/101011092615HL?OpenDocument;Suomi
267;Avioliiton solmiminen;Avioliiton solmiminen;fi;https://dvv.fi/vihkiminen;Suomi
268;Yhteystiedot;Yhteystiedot;fi;https://dvv.fi/yhteystiedot;Suomi
271;Parisuhteen rekisteröiminen;Parisuhteen rekisteröiminen;fi;https://dvv.fi/vihkiminen;Suomi
274;Synnytyssairaaloiden päivystys;Synnytyssairaaloiden päivystys;fi;"http://www.hus.fi/default.asp?path=1;32;660;546;570;1121;807;1135;31485;31487;31488&voucher=BAEAFD4A-EFD5-4F15-973E-87909EC10143";Suomi
275;Synnytyssairaaloiden yhteystiedot;Synnytyssairaaloiden yhteystiedot;fi;http://www.hus.fi/default.asp?path=59,403,5831,6172;Suomi
276;Lapsiperheiden tuet;Lapsiperheiden tuet;fi;https://www.kela.fi/lapsiperheet;Suomi
278;Asiointi verkossa;Asiointi verkossa;fi;https://www.kela.fi/omakela;Suomi
281;Kriisikeskus netissä;Kriisikeskus netissä;fi;https://tukinet.net/;Suomi
288;Asunnon vuokraaminen;Asunnon vuokraaminen;fi;https://www.kkv.fi/kuluttaja-asiat/asuminen/vuokra-asunnot/;Suomi
292;Tietoa museonäyttelyistä;Tietoa museonäyttelyistä;fi;https://museot.fi/;Suomi
294;Tietoa kielilaista;Tietoa kielilaista;fi;https://oikeusministerio.fi/kielelliset-oikeudet;Suomi
296;Suomen perustuslaki;Suomen perustuslaki;fi;https://oikeusministerio.fi/perustuslaki;Suomi
298;Tietoa demokratiasta Suomessa;Tietoa demokratiasta Suomessa;fi;https://oikeusministerio.fi/demokratia-ja-osallistuminen;Suomi
299;Suomeen työhön -esite;Suomeen työhön -esite;fi;https://www.te-palvelut.fi/documents/43002293/43009923/suomeen_ty%C3%B6h%C3%B6n_-_opas_suomesta_kiinnostuneille_ty%C3%B6ntekij%C3%B6ille_ja_yritt%C3%A4jille.pdf/f39be161-0741-0d27-b62c-e5356dbad3ef?t=1616532755870;Suomi
300;Tietoa Pohjoismaiden kansalaisille;Tietoa Pohjoismaiden kansalaisille;fi;https://www.norden.org/fi;Suomi
301;Vaalit Suomessa;Vaalit Suomessa;fi;https://vaalit.fi/etusivu;Suomi
306;Tervetuloa Suomeen -opas;Tervetuloa Suomeen -opas;fi;https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/161191/TEMoppaat_16_2018_TervetuloaSuomeen_FI_PDFUA.pdf?sequence=1&isAllowed=y;Suomi
308;Tietoa kotoutumisesta;Tietoa kotoutumisesta;fi;https://www.te-palvelut.fi/fi/tyonhakijalle/tukea-tyollistymiseen/kotoutumispalvelut;Suomi
309;Neuvontapalvelu Pohjoismaan kansalaisille;Neuvontapalvelu Pohjoismaan kansalaisille;fi;https://www.norden.org/fi/kysy-info-pohjolalta;Suomi
312;EU-kansalaisen oleskeluoikeuden rekisteröinti;EU-kansalaisen oleskeluoikeuden rekisteröinti;fi;https://migri.fi/oleskeluoikeuden-rekisterointi;Suomi
313;Tulkkausta;Tulkkausta;fi;https://tulka.com/fi/tulka-osti-a-tulkkauksen/;Suomi
326;Suomeen muuttajan sosiaaliturva;Suomeen muuttajan sosiaaliturva;fi;https://www.kela.fi/ulkomailta-suomeen-pikaopas;Suomi
327;Neuvontaa EU-kansalaisille;Neuvontaa EU-kansalaisille;fi;https://european-union.europa.eu/index_en;Suomi
330;Työnteko Suomessa;Työnteko Suomessa;fi;https://migri.fi/tyoskentely-suomessa/hakemukset;Suomi
331;Oleskeluluvan jatkaminen;Oleskeluluvan jatkaminen;fi;https://migri.fi/jatkolupa;Suomi
332;Työntekijän oleskelulupa;Työntekijän oleskelulupa;fi;https://migri.fi/tyontekijan-oleskelulupa;Suomi
333;Oleskelulupahakemuslomakkeet;Oleskelulupahakemuslomakkeet;fi;https://migri.fi/oleskelulupahakemukset;Suomi
334;Sähköinen asiointi;Sähköinen asiointi;fi;https://enterfinland.fi/eServices/;Suomi
335;Ruotsinkieliset ja kaksikieliset kunnat;Ruotsinkieliset ja kaksikieliset kunnat;fi;https://www.kuntaliitto.fi/kunnat-ja-kuntayhtymat/kaksikieliset-kunnat;Suomi
338;Pysyvä oleskelulupa;Pysyvä oleskelulupa;fi;https://migri.fi/pysyva-oleskelulupa;Suomi
339;Työnteko ilman oleskelulupaa;Työnteko ilman oleskelulupaa;fi;https://migri.fi/tyonteko-ilman-oleskelulupaa;Suomi
340;Lupatyypit;Lupatyypit;fi;https://migri.fi/oleskelulupatyypit;Suomi
341;Työnteko-oikeus;Työnteko-oikeus;fi;https://migri.fi/hakijan-tyonteko-oikeus;Suomi
343;Yrittäjän oleskelulupa;Yrittäjän oleskelulupa;fi;https://migri.fi/yrittaja;Suomi
344;Oleskelulupa työnhakua varten;Oleskelulupa työnhakua varten;fi;https://migri.fi/valmistumisen-jalkeen;Suomi
346;ETA-alueen ulkopuolella asuvien yrittäjien luvat;ETA-alueen ulkopuolella asuvien yrittäjien luvat;fi;https://www.prh.fi/fi/kaupparekisteri/yeh/perustaminen/yehlupa.html;Suomi
349;Tietoa opiskelijan oleskeluluvasta;Tietoa opiskelijan oleskeluluvasta;fi;https://migri.fi/opiskelijan-oleskelulupahakemus;Suomi
350;Kansalaisopistot Suomessa;Kansalaisopistot Suomessa;fi;https://kansalaisopistot.fi/kansalaisopistot-pahkinankuoressa/;Suomi
351;Opiskelijan työnteko-oikeus;Opiskelijan työnteko-oikeus;fi;https://migri.fi/opiskelu-suomessa;Suomi
352;Työharjoittelu Suomessa;Työharjoittelu Suomessa;fi;https://migri.fi/tyoharjoittelu;Suomi
353;Oleskelulupaa uudella perusteella;Oleskelulupaa uudella perusteella;fi;https://migri.fi/hakuperusteen-muuttaminen;Suomi
354;TE-toimistojen yhteystiedot;TE-toimistojen yhteystiedot;fi;https://toimistot.te-palvelut.fi/;Suomi
355;Tietoa opiskelijan sosiaaliturvasta;Tietoa opiskelijan sosiaaliturvasta;fi;https://www.kela.fi/opiskelijat;Suomi
356;Tietoa oleskeluluvista;Tietoa oleskeluluvista;fi;https://migri.fi/oleskelulupa;Suomi
357;Ulkomaalaisen opiskelijan opintotuki;Ulkomaalaisen opiskelijan opintotuki;fi;https://www.kela.fi/opintotuki-kuka-voi-saada?;Suomi
358;Oikeudellista neuvontaa;Oikeudellista neuvontaa;fi;https://www.pakolaisneuvonta.fi/;Suomi
359;Tietoa pakolaiskiintiöstä;Tietoa pakolaiskiintiöstä;fi;https://migri.fi/kiintiopakolaiset;Suomi
361;Tietoa kiintiöpakolaisten valinnasta;Tietoa kiintiöpakolaisten valinnasta;fi;https://migri.fi/miten-kiintiopakolaiset-valitaan-;Suomi
362;Suomen ja ruotsin kielen kursseja;Suomen ja ruotsin kielen kursseja;fi;https://finnishcourses.fi/fi;Suomi
363;Oikeusaputoimistot;Oikeusaputoimistot;fi;https://oikeus.fi/oikeusapu/fi/index/yhteystiedot.html;Suomi
364;Pakolaisen matkustusasiakirja;Pakolaisen matkustusasiakirja;fi;https://migri.fi/pakolaisen-matkustusasiakirja;Suomi
365;Oikeusapua pakolaisille;Oikeusapua pakolaisille;fi;https://www.pakolaisneuvonta.fi/yhteystiedot/;Suomi
366;Käännyttäminen ja karkottaminen;Käännyttäminen ja karkottaminen;fi;https://migri.fi/kaannyttaminen-ja-karkottaminen;Suomi
367;Suomi toisena kielenä perusopetuksessa;Suomi toisena kielenä perusopetuksessa;fi;https://www.oph.fi/fi/koulutus-ja-tutkinnot/suomi-toisena-kielena-opetus;Suomi
369;Vapaaehtoinen paluu;Vapaaehtoinen paluu;fi;https://migri.fi/documents/5202425/6180789/Vapaaehtoinen+paluu+%28fi%29;Suomi
370;Kielitaidon tasojen kuvausasteikko;Kielitaidon tasojen kuvausasteikko;fi;https://www.oph.fi/fi/koulutus-ja-tutkinnot/kehittyvan-kielitaidon-tasojen-kuvausasteikko;Suomi
371;Tukea pakolaisille;Tukea pakolaisille;fi;https://pakolaisapu.fi/;Suomi
372;Apua syrjinnän uhrille;Apua syrjinnän uhrille;fi;https://syrjinta.fi/etusivu;Suomi
377;Psykotraumatologian keskus;Psykotraumatologian keskus;fi;https://www.hdl.fi/tukea-ja-toimintaa/maahanmuuttajille/psykotraumatologian-keskus/;Suomi
382;Tietoa varhaiskasvatuksesta;Tietoa varhaiskasvatuksesta;fi;https://okm.fi/varhaiskasvatus;Suomi
383;Tietoa yksityisestä varhaiskasvatuksesta;Tietoa yksityisestä varhaiskasvatuksesta;fi;http://www.hoitopaikka.net/;Suomi
384;Tietoa esiopetuksesta;Tietoa esiopetuksesta;fi;https://www.oph.fi/fi/koulutus-ja-tutkinnot/esiopetus;Suomi
387;Turvapaikan hakeminen Suomesta;Turvapaikan hakeminen Suomesta;fi;https://migri.fi/turvapaikka-suomesta;Suomi
388;Tietoa turvapaikanhakijoille-esite;Tietoa turvapaikanhakijoille-esite;fi;https://migri.fi/documents/5202425/6165225/Tietoa+turvapaikanhakijalle+%28fi%29;Suomi
389;IOM yhteystiedot;IOM yhteystiedot;fi;;Suomi
391;Oleskeluluvan peruminen;Oleskeluluvan peruminen;fi;https://migri.fi/luvan-peruuttaminen;Suomi
392;Suomen kansalaisuus;Suomen kansalaisuus;fi;https://migri.fi/suomen-kansalaisuus;Suomi
393;Turvapaikanhakijan työnteko-oikeus;Turvapaikanhakijan työnteko-oikeus;fi;https://migri.fi/turvapaikanhakijan-tyonteko-oikeus;Suomi
394;Suomen kansalaisuuden hakeminen;Suomen kansalaisuuden hakeminen;fi;https://migri.fi/kansalaisuushakemus;Suomi
395;Lapsen kansalaisuus;Lapsen kansalaisuus;fi;https://migri.fi/kansalaisuus-lapselle;Suomi
396;Turvapaikkahakemuksen käsittely;Turvapaikkahakemuksen käsittely;fi;https://migri.fi/turvapaikkahakemuksen-kasittely;Suomi
397;Kansalaisuushakemus;Kansalaisuushakemus;fi;https://enterfinland.fi/eServices/;Suomi
398;Turvapaikkahakemuksen tutkimatta jättäminen;Turvapaikkahakemuksen tutkimatta jättäminen;fi;https://migri.fi/milloin-hakemusta-ei-kasitella-suomessa-;Suomi
400;Turvapaikka;Turvapaikka;fi;https://migri.fi/turvapaikka;Suomi
401;Kansalaisuusilmoitus;Kansalaisuusilmoitus;fi;https://migri.fi/kansalaisuusilmoitus;Suomi
402;Oleskelulupa muulla perusteella;Oleskelulupa muulla perusteella;fi;https://migri.fi/muulla-perusteella-suomeen;Suomi
403;Kansalaisuusilmoitus-lomake;Kansalaisuusilmoitus-lomake;fi;https://enterfinland.fi/eServices/;Suomi
404;Turvapaikanhakijan käännyttäminen;Turvapaikanhakijan käännyttäminen;fi;https://migri.fi/kaannyttaminen;Suomi
405;Kansalaisuuslaki;Kansalaisuuslaki;fi;https://www.finlex.fi/fi/laki/ajantasa/2004/20030359;Suomi
406;Turvapaikkapäätöksestä valittaminen;Turvapaikkapäätöksestä valittaminen;fi;https://migri.fi/muutoksenhaku-eli-paatoksesta-valittaminen;Suomi
408;Lapsi, joka on tullut Suomeen ilman huoltajaa;Lapsi, joka on tullut Suomeen ilman huoltajaa;fi;https://migri.fi/documents/5202425/6246482/Kansainv%C3%A4list%C3%A4+suojelua+hakevat+lapset+%28fi%29;Suomi
409;Paluumuuttajan oleskelulupa;Paluumuuttajan oleskelulupa;fi;https://migri.fi/paluumuutto;Suomi
411;Suomen passin hakeminen;Suomen passin hakeminen;fi;https://poliisi.fi/passi;Suomi
413;Suomen passin hakeminen ulkomailla;Suomen passin hakeminen ulkomailla;fi;https://um.fi/hakeminen-ulkomailla;Suomi
414;Syntyperäisen suomalaisen jälkeläisen oleskelulupa;Syntyperäisen suomalaisen jälkeläisen oleskelulupa;fi;https://migri.fi/syntyperaisen-suomalaisen-jalkelainen;Suomi
415;Entisen Suomen kansalaisen oleskelulupa;Entisen Suomen kansalaisen oleskelulupa;fi;https://migri.fi/paluumuutto/entinen-suomen-kansalainen;Suomi
416;Ulkosuomalaisten etujärjestö;Ulkosuomalaisten etujärjestö;fi;https://suomi-seura.fi/fi/;Suomi
417;Inkerinsuomalaisten yhdistys;Inkerinsuomalaisten yhdistys;fi;https://inkerikeskus.fi/;Suomi
420;Perhesiteen perusteella Suomeen;Perhesiteen perusteella Suomeen;fi;https://migri.fi/perheenjasenen-luokse-suomeen;Suomi
421;Toimeentuloedellytys;Toimeentuloedellytys;fi;https://migri.fi/toimeentuloedellytys-suomesta-oleskeluluvan-saaneen-perheenjasenelle;Suomi
422;Suomen kansalaisuuden menettäminen;Suomen kansalaisuuden menettäminen;fi;https://migri.fi/kansalaisuuden-menettaminen;Suomi
423;Oleskeluluvan hakeminen perhesiteen perusteella;Oleskeluluvan hakeminen perhesiteen perusteella;fi;https://migri.fi/perheenjasenen-luokse-suomeen;Suomi
426;Suomen kielen alkeiskurssi Easyfinnish;Suomen kielen alkeiskurssi Easyfinnish;fi;https://yle.fi/aihe/artikkeli/2013/11/04/easyfinnish-suomen-kielen-alkeiskurssi-englanniksi;Suomi
427;Pakolaisen perheenjäsen;Pakolaisen perheenjäsen;fi;https://migri.fi/aviopuoliso-suomessa-pakolaisena;Suomi
429;Hakemus Suomen kansalaisuudesta vapautumiseksi;Hakemus Suomen kansalaisuudesta vapautumiseksi;fi;https://migri.fi/kansalaisuudesta_vapautuminen;Suomi
430;Suomen kielen alkeiskurssi Tavataan taas;Suomen kielen alkeiskurssi Tavataan taas;fi;;Suomi
431;Ulkomaiden edustustot Suomessa;Ulkomaiden edustustot Suomessa;fi;https://um.fi/ulkovaltojen-edustustot;Suomi
437;Edullisia ulkomaanpuheluja;Edullisia ulkomaanpuheluja;fi;https://globetel.fi/;Suomi
438;Ulkomaalaisen rekisteröinti;Ulkomaalaisen rekisteröinti;fi;https://dvv.fi/ulkomaalaisen-rekisterointi;Suomi
441;Edullisia ulkomaanpuheluja;Edullisia ulkomaanpuheluja;fi;https://www.skype.com/fi/;Suomi
443;Muuttotavaroiden tuonti Suomeen;Muuttotavaroiden tuonti Suomeen;fi;https://tulli.fi/henkiloasiakkaat/muuttajalle;Suomi
445;Kadonneen omaisen jäljittäminen;Kadonneen omaisen jäljittäminen;fi;https://www.punainenristi.fi/hae-apua-ja-tukea/kadonneiden-loytamiseen/;Suomi
446;Tullineuvonta;Tullineuvonta;fi;https://tulli.fi/tietoa-tullista/yhteystiedot;Suomi
448;Kadonneen omaisen jäljittäminen;Kadonneen omaisen jäljittäminen;fi;https://www.punainenristi.fi/hae-apua-ja-tukea/kadonneiden-loytamiseen/henkilotiedustelu-kadonneen-loytamiseksi/;Suomi
449;Ulkomaalaisen rekisteröinti verotoimistossa;Ulkomaalaisen rekisteröinti verotoimistossa;fi;https://www.vero.fi/henkiloasiakkaat/verokortti-ja-veroilmoitus/ulkomailta_suomeen/suomeen-t%c3%b6ihin-tulevalle-suomalainen-henkil%c3%b6tunnus/;Suomi
450;Muuttoilmoitus;Muuttoilmoitus;fi;https://www.posti.fi/fi/henkiloille/muuttoilmoitus;Suomi
451;Ulkomainen ajokortti Suomessa;Ulkomainen ajokortti Suomessa;fi;https://ajokortti-info.fi/fi/perustietoa-ajokortista/ulkomaisen-ajokortin-kelpoisuus-suomessa;Suomi
452;Muutto ulkomaille ja sosiaaliturva;Muutto ulkomaille ja sosiaaliturva;fi;https://www.kela.fi/sosiaaliturvaan-kuuluminen-suomesta-ulkomaille;Suomi
453;Ulkomaalaisen pankkiasiat;Ulkomaalaisen pankkiasiat;fi;https://www.finanssiala.fi/julkaisut/ulkomaalaisen-pankkiasiat/;Suomi
454;Internet- ja puhelinliittymät;Internet- ja puhelinliittymät;fi;https://www.traficom.fi/fi/viestinta/laajakaista-ja-puhelin;Suomi
456;Asevelvollisuus;Asevelvollisuus;fi;https://puolustusvoimat.fi/asevelvollisuus;Suomi
461;Tietoa Suomesta ulkomaalaiselle;Tietoa Suomesta ulkomaalaiselle;fi;;Suomi
462;Viisumin tarve Schengen-alueelle ja Suomen hyväksymät matkustusasiakirjat;Viisumin tarve Schengen-alueelle ja Suomen hyväksymät matkustusasiakirjat;fi;https://um.fi/viisumin-tarve-ja-suomen-hyvaksymat-matkustusasiakirjat;Suomi
465;Schengen-viisumin hakeminen;Schengen-viisumin hakeminen;fi;https://um.fi/viisumi-suomeen;Suomi
466;Maat, jossa toinen Schengen-maa edustaa Suomea;Maat, jossa toinen Schengen-maa edustaa Suomea;fi;https://um.fi/edustustot;Suomi
467;Viisumin pidentäminen Suomessa;Viisumin pidentäminen Suomessa;fi;https://poliisi.fi/viisumin-jatkaminen;Suomi
468;Tietoa Suomesta turisteille;Tietoa Suomesta turisteille;fi;;Suomi
473;Tv-sarjan oppimateriaali Supisuomea;Tv-sarjan oppimateriaali Supisuomea;fi;https://yle.fi/aihe/artikkeli/2015/12/15/supisuomea;Suomi
474;Selkouutiset;Selkouutiset;fi;https://yle.fi/uutiset/osasto/selkouutiset/;Suomi
475;Tietoa eri aiheista selkokielellä;Tietoa eri aiheista selkokielellä;fi;https://selko.fi;Suomi
479;Kuuntele suomen kielen murteita;Kuuntele suomen kielen murteita;fi;https://kielikompassi.jyu.fi/opetus/s2/mps/;Suomi
483;Verbien taivutusta;Verbien taivutusta;fi;;Suomi
484;Iso suomen kielioppi verkossa;Iso suomen kielioppi verkossa;fi;https://scripta.kotus.fi/visk/etusivu.php;Suomi
489;Yleiset kielitutkinnot;Yleiset kielitutkinnot;fi;https://www.oph.fi/fi/koulutus-ja-tutkinnot/kieli-ja-kaantajatutkinnot/yleiset-kielitutkinnot-yki;Suomi
490;Ilmoittautuminen yleiseen kielitutkintoon ja tutkintomaksut;Ilmoittautuminen yleiseen kielitutkintoon ja tutkintomaksut;fi;https://www.oph.fi/fi/koulutus-ja-tutkinnot/ilmoittautuminen-yleisiin-kielitutkintoihin;Suomi
491;Yleisten kielitutkintojen taitotasot;Yleisten kielitutkintojen taitotasot;fi;https://www.oph.fi/sites/default/files/documents/169733_taitotasokuvaukset_cefr.pdf;Suomi
492;Valtionhallinnon kielitutkinnot;Valtionhallinnon kielitutkinnot;fi;https://www.oph.fi/fi/koulutus-ja-tutkinnot/kieli-ja-kaantajatutkinnot/valtionhallinnon-kielitutkinnot;Suomi
494;Kielitaidon osoittaminen opintojen yhteydessä;Kielitaidon osoittaminen opintojen yhteydessä;fi;https://www.oph.fi/fi/koulutus-ja-tutkinnot/kieli-ja-kaantajatutkinnot/valtionhallinnon-kielitutkinnot#anchor-kielitaidon-osoittaminen-opintojen-yhteydessa;Suomi
495;Kielitaito ja Suomen kansalaisuus;Kielitaito ja Suomen kansalaisuus;fi;https://migri.fi/kielitaito;Suomi
496;Tietoa suomen kielestä;Tietoa suomen kielestä;fi;https://www.kotus.fi/kielitieto/kielet/suomi;Suomi
501;Tietoa ruotsin kielestä;Tietoa ruotsin kielestä;fi;https://www.kotus.fi/kielitieto/kielet/ruotsi;Suomi
502;Tietoa saamen kielistä;Tietoa saamen kielistä;fi;https://www.kotus.fi/kielitieto/kielet/saame;Suomi
503;Tietoa Suomen romanikielestä;Tietoa Suomen romanikielestä;fi;https://www.kotus.fi/kielitieto/kielet/suomen_romanikieli;Suomi
504;Tietoa suomalaisesta viittomakielestä;Tietoa suomalaisesta viittomakielestä;fi;https://www.kotus.fi/kielitieto/kielet/suomen_viittomakielet;Suomi
505;Suomalaisen viittomakielen verkkosanakirja;Suomalaisen viittomakielen verkkosanakirja;fi;https://suvi.viittomat.net/;Suomi
507;Puhelin- ja sähköpostineuvontaa maahanmuuttajille;Puhelin- ja sähköpostineuvontaa maahanmuuttajille;fi;https://www.vaestoliitto.fi/maahanmuuttajat/kotoutumiseen-liittyvat-palvelut/;Suomi
509;Laki lapsen huollosta ja tapaamisoikeudesta;Laki lapsen huollosta ja tapaamisoikeudesta;fi;https://www.finlex.fi/fi/laki/ajantasa/1983/19830361;Suomi
510;Tietoa yhden vanhemman perheille;Tietoa yhden vanhemman perheille;fi;https://www.yvpl.fi/;Suomi
511;Elatustuki ja elatusapu;Elatustuki ja elatusapu;fi;https://www.kela.fi/elatustuki;Suomi
512;Toimintaa pienperheille;Toimintaa pienperheille;fi;https://www.pienperhe.fi/;Suomi
513;Tietoa elatusvelvollisille;Tietoa elatusvelvollisille;fi;https://www.elatusvelvolliset.fi/?action=etusivu&kieli;Suomi
514;Avoimia työpaikkoja;Avoimia työpaikkoja;fi;https://paikat.te-palvelut.fi/tpt/;Suomi
515;Tietoa uusperheen perustajalle;Tietoa uusperheen perustajalle;fi;https://supli.fi/;Suomi
517;Tukea ja toimintaa sateenkaariperheille;Tukea ja toimintaa sateenkaariperheille;fi;https://sateenkaariperheet.fi/;Suomi
519;Vuokratyöopas;Vuokratyöopas;fi;https://tem.fi/documents/1410877/3229884/Vuokraty%C3%B6opas/fc47f5f5-b1d5-4805-b6dd-a46e42193a05;Suomi
520;Avioliittolaki;Avioliittolaki;fi;https://www.finlex.fi/fi/laki/ajantasa/1929/19290234;Suomi
521;Digi- ja väestötietoviraston yhteystiedot;Digi- ja väestötietoviraston yhteystiedot;fi;https://dvv.fi/yhteystiedot;Suomi
522;Pyyntö avioliiton esteiden tutkinnasta;Pyyntö avioliiton esteiden tutkinnasta;fi;https://dvv.fi/documents/16079645/17653486/Pyynt%C3%B6+avioliiton+esteiden+tutkinnasta/5b496835-dd1e-8f55-de29-41ea277830e7/Pyynt%C3%B6+avioliiton+esteiden+tutkinnasta.pdf;Suomi
524;Apua työnhakuun puhelimitse;Apua työnhakuun puhelimitse;fi;https://www.te-palvelut.fi/fi/nain-asioit-kanssamme/te-palvelut/puhelinpalvelut;Suomi
530;Avioehtosopimus;Avioehtosopimus;fi;https://dvv.fi/avioehto;Suomi
531;Vihkiminen;Vihkiminen;fi;https://dvv.fi/vihkiminen;Suomi
533;Käräjäoikeuksien yhteystiedot;Käräjäoikeuksien yhteystiedot;fi;https://oikeus.fi/tuomioistuimet/karajaoikeudet/fi/index/yhteystiedot.html;Suomi
534;Tietoa avioliitosta;Tietoa avioliitosta;fi;https://evl.fi/perhejuhlat/haat;Suomi
535;Suomen ortodoksinen kirkko;Suomen ortodoksinen kirkko;fi;https://ort.fi/;Suomi
